"isHiddenFraudulent";"poweredBy";"serverType";"contentType";"compromissionType";"contentLength";"ulrLenght"
"FALSE";"PHP";"Microsoft";"text";"defacement";1635;44
"FALSE";"PHP";"Microsoft";"text";"defacement";0;100
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;100
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;100
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"TRUE";"PHP";"Microsoft";"text";"defacement";15;41
"FALSE";"PHP";"LiteSpeed";"text";"defacement";10505;29
"TRUE";"PHP";"LiteSpeed";"text";"defacement";12;31
"FALSE";"PHP";"Apache";"text";"defacement";0;38
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;87
"FALSE";"PHP";"Apache";"text";"defacement";0;143
"FALSE";"PHP";"Apache";"text";"defacement";0;120
"FALSE";"PHP";"Apache";"text";"defacement";0;133
"FALSE";"PHP";"Apache";"text";"defacement";0;121
"FALSE";"PHP";"Apache";"text";"defacement";0;141
"FALSE";"PHP";"Apache";"text";"defacement";0;124
"FALSE";"PHP";"Apache";"text";"defacement";0;139
"FALSE";"PHP";"Apache";"text";"defacement";0;148
"FALSE";"PHP";"Apache";"text";"defacement";0;124
"FALSE";"PHP";"Apache";"text";"defacement";0;127
"FALSE";"PHP";"Apache";"text";"defacement";0;120
"FALSE";"PHP";"Apache";"text";"defacement";0;176
"FALSE";"PHP";"Apache";"text";"defacement";0;143
"FALSE";"PHP";"Apache";"text";"defacement";0;196
"FALSE";"PHP";"Apache";"text";"defacement";0;121
"FALSE";"PHP";"Apache";"text";"defacement";0;168
"FALSE";"PHP";"Apache";"text";"defacement";0;133
"FALSE";"PHP";"Apache";"text";"defacement";0;192
"FALSE";"PHP";"Apache";"text";"defacement";0;133
"FALSE";"PHP";"Apache";"text";"defacement";0;141
"FALSE";"PHP";"Apache";"text";"defacement";0;192
"FALSE";"PHP";"Apache";"text";"defacement";0;144
"FALSE";"PHP";"Apache";"text";"defacement";0;138
"FALSE";"PHP";"Apache";"text";"defacement";0;124
"FALSE";"PHP";"Apache";"text";"defacement";0;130
"FALSE";"PHP";"Apache";"text";"defacement";0;122
"FALSE";"PHP";"Apache";"text";"defacement";0;149
"FALSE";"PHP";"Apache";"text";"defacement";0;132
"FALSE";"PHP";"Apache";"text";"defacement";0;143
"FALSE";"PHP";"Apache";"text";"defacement";0;144
"FALSE";"PHP";"Apache";"text";"defacement";0;124
"FALSE";"PHP";"Apache";"text";"defacement";0;122
"FALSE";"PHP";"Apache";"text";"defacement";0;130
"FALSE";"PHP";"Apache";"text";"defacement";0;171
"FALSE";"PHP";"Apache";"text";"defacement";0;154
"TRUE";"PHP";"Apache";"text";"defacement";15;33
"FALSE";"PHP";"Microsoft";"text";"defacement";1635;33
"FALSE";"PHP";"Microsoft";"text";"defacement";0;91
"FALSE";"PHP";"Microsoft";"text";"defacement";0;81
"FALSE";"PHP";"Microsoft";"text";"defacement";0;92
"FALSE";"PHP";"Microsoft";"text";"defacement";0;93
"FALSE";"PHP";"Microsoft";"text";"defacement";0;93
"FALSE";"PHP";"Microsoft";"text";"defacement";0;92
"FALSE";"PHP";"Microsoft";"text";"defacement";0;80
"FALSE";"PHP";"Microsoft";"text";"defacement";0;79
"FALSE";"PHP";"Microsoft";"text";"defacement";0;79
"FALSE";"PHP";"Microsoft";"text";"defacement";0;80
"FALSE";"PHP";"Microsoft";"text";"defacement";0;80
"FALSE";"PHP";"Microsoft";"text";"defacement";0;80
"TRUE";"PHP";"Microsoft";"text";"defacement";18;30
"FALSE";"PHP";"Apache";"text";"defacement";458;42
"FALSE";"PHP";"Apache";"text";"defacement";2142;45
"FALSE";"PHP";"Apache";"text";"defacement";0;41
"FALSE";"PHP";"Apache";"text";"defacement";0;87
"FALSE";"PHP";"Apache";"text";"defacement";0;100
"FALSE";"PHP";"Apache";"text";"defacement";0;88
"FALSE";"PHP";"Apache";"text";"defacement";0;87
"FALSE";"PHP";"Apache";"text";"defacement";0;100
"FALSE";"PHP";"Apache";"text";"defacement";0;100
"FALSE";"PHP";"Apache";"text";"defacement";0;100
"FALSE";"PHP";"Apache";"text";"defacement";0;87
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;97
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"FALSE";"PHP";"Apache";"text";"defacement";0;98
"TRUE";"PHP";"Apache";"text";"defacement";15;37
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;40
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;37
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;35
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;48
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;34
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;38
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;37
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;73
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;72
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;66
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;64
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;71
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;45
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;76
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;54
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;47
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;67
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;62
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;45
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;69
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;72
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;68
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;62
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;65
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;47
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;52
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;66
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;52
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;53
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;54
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;50
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;50
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;51
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;49
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;44
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;49
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;45
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;46
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;50
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;47
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;45
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;58
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;56
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;60
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;53
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;53
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;46
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;58
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;47
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;47
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;55
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;58
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;51
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;43
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;44
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;47
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;45
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;46
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;45
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;58
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;51
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;53
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;76
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;58
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;55
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;45
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;46
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;46
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;46
"FALSE";"PHP";"LiteSpeed";"text";"defacement";0;46
"TRUE";"PHP";"LiteSpeed";"text";"defacement";15;35
"FALSE";"PHP";"Microsoft";"text";"defacement";1635;48
"FALSE";"PHP";"Microsoft";"text";"defacement";0;93
"FALSE";"PHP";"Microsoft";"text";"defacement";0;93
"FALSE";"PHP";"Microsoft";"text";"defacement";0;94
"FALSE";"PHP";"Microsoft";"text";"defacement";0;105
"FALSE";"PHP";"Microsoft";"text";"defacement";0;94
"FALSE";"PHP";"Microsoft";"text";"defacement";0;89
"FALSE";"PHP";"Microsoft";"text";"defacement";0;128
"FALSE";"PHP";"Microsoft";"text";"defacement";0;83
"FALSE";"PHP";"Microsoft";"text";"defacement";0;83
"FALSE";"PHP";"Microsoft";"text";"defacement";0;83
"FALSE";"PHP";"Microsoft";"text";"defacement";0;83
"FALSE";"PHP";"Microsoft";"text";"defacement";0;83
"FALSE";"PHP";"Microsoft";"text";"defacement";831;83
"FALSE";"PHP";"Microsoft";"text";"defacement";0;124
"FALSE";"PHP";"Microsoft";"text";"defacement";0;246
"FALSE";"PHP";"Microsoft";"text";"defacement";0;208
"FALSE";"PHP";"Microsoft";"text";"defacement";0;192
"FALSE";"PHP";"Microsoft";"text";"defacement";0;272
"FALSE";"PHP";"Microsoft";"text";"defacement";0;244
"FALSE";"PHP";"Microsoft";"text";"defacement";0;191
"FALSE";"PHP";"Microsoft";"text";"defacement";0;177
"FALSE";"PHP";"Microsoft";"text";"defacement";0;196
"FALSE";"PHP";"Microsoft";"text";"defacement";0;135
"FALSE";"PHP";"Microsoft";"text";"defacement";0;137
"FALSE";"PHP";"Microsoft";"text";"defacement";0;136
"FALSE";"PHP";"Microsoft";"text";"defacement";0;146
"FALSE";"PHP";"Microsoft";"text";"defacement";0;131
"FALSE";"PHP";"Microsoft";"text";"defacement";0;132
"FALSE";"PHP";"Microsoft";"text";"defacement";0;139
"FALSE";"PHP";"Microsoft";"text";"defacement";0;133
"FALSE";"PHP";"Microsoft";"text";"defacement";0;133
"FALSE";"PHP";"Microsoft";"text";"defacement";0;133
"FALSE";"PHP";"Microsoft";"text";"defacement";0;133
"FALSE";"PHP";"Microsoft";"text";"defacement";0;133
"FALSE";"PHP";"Microsoft";"text";"defacement";0;130
"FALSE";"PHP";"Microsoft";"text";"defacement";0;132
"FALSE";"PHP";"Microsoft";"text";"defacement";0;140
"FALSE";"PHP";"Microsoft";"text";"defacement";0;266
"FALSE";"PHP";"Microsoft";"text";"defacement";0;224
"FALSE";"PHP";"Microsoft";"text";"defacement";0;269
"FALSE";"PHP";"Microsoft";"text";"defacement";0;285
"FALSE";"PHP";"Microsoft";"text";"defacement";0;251
"TRUE";"PHP";"Microsoft";"text";"defacement";15;43
"FALSE";"PHP";"Apache";"text";"defacement";0;44
"FALSE";"PHP";"Apache";"text";"defacement";0;86
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;90
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"TRUE";"PHP";"Apache";"text";"defacement";15;39
"FALSE";"PHP";"Apache";"text";"defacement";0;42
"FALSE";"PHP";"Apache";"text";"defacement";0;88
"FALSE";"PHP";"Apache";"text";"defacement";0;90
"FALSE";"PHP";"Apache";"text";"defacement";0;90
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;88
"FALSE";"PHP";"Apache";"text";"defacement";0;120
"FALSE";"PHP";"Apache";"text";"defacement";0;68
"FALSE";"PHP";"Apache";"text";"defacement";0;69
"FALSE";"PHP";"Apache";"text";"defacement";0;71
"FALSE";"PHP";"Apache";"text";"defacement";0;120
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;91
"FALSE";"PHP";"Apache";"text";"defacement";0;90
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;90
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;90
"FALSE";"PHP";"Apache";"text";"defacement";0;89
"FALSE";"PHP";"Apache";"text";"defacement";0;157
"FALSE";"PHP";"Apache";"text";"defacement";0;274
"FALSE";"PHP";"Apache";"text";"defacement";0;142
"FALSE";"PHP";"Apache";"text";"defacement";0;139
"FALSE";"PHP";"Apache";"text";"defacement";0;250
"FALSE";"PHP";"Apache";"text";"defacement";0;124
"FALSE";"PHP";"Apache";"text";"defacement";0;171
"FALSE";"PHP";"Apache";"text";"defacement";0;156
"FALSE";"PHP";"Apache";"text";"defacement";0;143
"FALSE";"PHP";"Apache";"text";"defacement";0;254
"FALSE";"PHP";"Apache";"text";"defacement";0;128
"FALSE";"PHP";"Apache";"text";"defacement";0;137
"FALSE";"PHP";"Apache";"text";"defacement";0;246
"FALSE";"PHP";"Apache";"text";"defacement";0;122
"FALSE";"PHP";"Apache";"text";"defacement";0;54
"FALSE";"PHP";"Apache";"text";"defacement";0;55
"FALSE";"PHP";"Apache";"text";"defacement";0;55
"FALSE";"PHP";"Apache";"text";"defacement";0;55
"FALSE";"PHP";"Apache";"text";"defacement";0;55
"FALSE";"PHP";"Apache";"text";"defacement";0;55
"FALSE";"PHP";"Apache";"text";"defacement";0;119
"FALSE";"PHP";"Apache";"text";"defacement";0;131
"FALSE";"PHP";"Apache";"text";"defacement";0;141
"FALSE";"PHP";"Apache";"text";"defacement";0;123
"FALSE";"PHP";"Apache";"text";"defacement";0;133
"FALSE";"PHP";"Apache";"text";"defacement";0;120
"FALSE";"PHP";"Apache";"text";"defacement";0;123
"FALSE";"PHP";"Apache";"text";"defacement";0;123
"FALSE";"PHP";"Apache";"text";"defacement";0;138
"FALSE";"PHP";"Apache";"text";"defacement";0;136
"FALSE";"PHP";"Apache";"text";"defacement";0;134
"FALSE";"PHP";"Apache";"text";"defacement";0;129
"FALSE";"PHP";"Apache";"text";"defacement";0;132
"FALSE";"PHP";"Apache";"text";"defacement";0;123
"FALSE";"PHP";"Apache";"text";"defacement";0;127
"FALSE";"PHP";"Apache";"text";"defacement";0;121
"FALSE";"PHP";"Apache";"text";"defacement";0;134
"FALSE";"PHP";"Apache";"text";"defacement";0;138
"FALSE";"PHP";"Apache";"text";"defacement";0;132
"FALSE";"PHP";"Apache";"text";"defacement";0;132
"FALSE";"PHP";"Apache";"text";"defacement";0;127
"FALSE";"PHP";"Apache";"text";"defacement";0;135
"FALSE";"PHP";"Apache";"text";"defacement";0;128
"FALSE";"PHP";"Apache";"text";"defacement";0;146
"FALSE";"PHP";"Apache";"text";"defacement";0;144
"FALSE";"PHP";"Apache";"text";"defacement";0;162
"FALSE";"PHP";"Apache";"text";"defacement";0;120
"FALSE";"PHP";"Apache";"text";"defacement";0;134
"FALSE";"PHP";"Apache";"text";"defacement";0;120
"FALSE";"PHP";"Apache";"text";"defacement";0;134
"FALSE";"PHP";"Apache";"text";"defacement";0;186
"FALSE";"PHP";"Apache";"text";"defacement";0;168
"FALSE";"PHP";"Apache";"text";"defacement";0;200
"FALSE";"PHP";"Apache";"text";"defacement";0;172
"FALSE";"PHP";"Apache";"text";"defacement";0;166
"FALSE";"PHP";"Apache";"text";"defacement";0;134
"FALSE";"PHP";"Apache";"text";"defacement";0;242
"FALSE";"PHP";"Apache";"text";"defacement";0;146
"FALSE";"PHP";"Apache";"text";"defacement";0;258
"FALSE";"PHP";"Apache";"text";"defacement";0;156
"FALSE";"PHP";"Apache";"text";"defacement";0;270
"FALSE";"PHP";"Apache";"text";"defacement";0;138
"FALSE";"PHP";"Apache";"text";"defacement";0;246
"FALSE";"PHP";"Apache";"text";"defacement";0;148
"FALSE";"PHP";"Apache";"text";"defacement";0;262
"TRUE";"PHP";"Apache";"text";"defacement";15;37
"TRUE";"PHP";"Apache";"text";"defacement";78;27
"FALSE";"PHP";"Microsoft";"text";"defacement";1245;39
"FALSE";"PHP";"Microsoft";"text";"defacement";0;86
"FALSE";"PHP";"Microsoft";"text";"defacement";0;86
"FALSE";"PHP";"Microsoft";"text";"defacement";0;84
"FALSE";"PHP";"Microsoft";"text";"defacement";0;100
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;102
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;102
"FALSE";"PHP";"Microsoft";"text";"defacement";0;101
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;103
"FALSE";"PHP";"Microsoft";"text";"defacement";0;108
"FALSE";"PHP";"Microsoft";"text";"defacement";0;100
"FALSE";"PHP";"Microsoft";"text";"defacement";0;97
"FALSE";"PHP";"Microsoft";"text";"defacement";0;87
"FALSE";"PHP";"Microsoft";"text";"defacement";0;87
"FALSE";"PHP";"Microsoft";"text";"defacement";0;102
"FALSE";"PHP";"Microsoft";"text";"defacement";0;87
"FALSE";"PHP";"Microsoft";"text";"defacement";0;88
"FALSE";"PHP";"Microsoft";"text";"defacement";0;86
"FALSE";"PHP";"Microsoft";"text";"defacement";0;66
"FALSE";"PHP";"Microsoft";"text";"defacement";0;66
"FALSE";"PHP";"Microsoft";"text";"defacement";0;112
"FALSE";"PHP";"Microsoft";"text";"defacement";0;118
"FALSE";"PHP";"Microsoft";"text";"defacement";0;110
"FALSE";"PHP";"Microsoft";"text";"defacement";0;111
"FALSE";"PHP";"Microsoft";"text";"defacement";0;109
"FALSE";"PHP";"Microsoft";"text";"defacement";0;115
"FALSE";"PHP";"Microsoft";"text";"defacement";0;111
"FALSE";"PHP";"Microsoft";"text";"defacement";0;112
"FALSE";"PHP";"Microsoft";"text";"defacement";0;114
"FALSE";"PHP";"Microsoft";"text";"defacement";0;118
"FALSE";"PHP";"Microsoft";"text";"defacement";0;114
"FALSE";"PHP";"Microsoft";"text";"defacement";0;117
"FALSE";"PHP";"Microsoft";"text";"defacement";0;121
"FALSE";"PHP";"Microsoft";"text";"defacement";0;118
"FALSE";"PHP";"Microsoft";"text";"defacement";0;116
"FALSE";"PHP";"Microsoft";"text";"defacement";0;113
"FALSE";"PHP";"Microsoft";"text";"defacement";0;109
"FALSE";"PHP";"Microsoft";"text";"defacement";0;115
"FALSE";"PHP";"Microsoft";"text";"defacement";0;111
"FALSE";"PHP";"Microsoft";"text";"defacement";0;116
"FALSE";"PHP";"Microsoft";"text";"defacement";0;111
"FALSE";"PHP";"Microsoft";"text";"defacement";0;120
"FALSE";"PHP";"Microsoft";"text";"defacement";0;120
"FALSE";"PHP";"Microsoft";"text";"defacement";0;116
"FALSE";"PHP";"Microsoft";"text";"defacement";0;119
"FALSE";"PHP";"Microsoft";"text";"defacement";0;119
"FALSE";"PHP";"Microsoft";"text";"defacement";0;120
"FALSE";"PHP";"Microsoft";"text";"defacement";0;122
"FALSE";"PHP";"Microsoft";"text";"defacement";0;122
"FALSE";"PHP";"Microsoft";"text";"defacement";0;119
"FALSE";"PHP";"Microsoft";"text";"defacement";0;121
"FALSE";"PHP";"Microsoft";"text";"defacement";0;126
"FALSE";"PHP";"Microsoft";"text";"defacement";0;122
"FALSE";"PHP";"Microsoft";"text";"defacement";0;131
"FALSE";"PHP";"Microsoft";"text";"defacement";0;123
"FALSE";"PHP";"Microsoft";"text";"defacement";0;123
"FALSE";"PHP";"Microsoft";"text";"defacement";0;126
"FALSE";"PHP";"Microsoft";"text";"defacement";0;123
"FALSE";"PHP";"Microsoft";"text";"defacement";0;116
"FALSE";"PHP";"Microsoft";"text";"defacement";0;117
"FALSE";"PHP";"Microsoft";"text";"defacement";0;119
"FALSE";"PHP";"Microsoft";"text";"defacement";0;119
"FALSE";"PHP";"Microsoft";"text";"defacement";0;118
"FALSE";"PHP";"Microsoft";"text";"defacement";0;119
"FALSE";"PHP";"Microsoft";"text";"defacement";0;118
"FALSE";"PHP";"Microsoft";"text";"defacement";0;116
"FALSE";"PHP";"Microsoft";"text";"defacement";0;117
"FALSE";"PHP";"Microsoft";"text";"defacement";0;122
"FALSE";"PHP";"Microsoft";"text";"defacement";0;121
"FALSE";"PHP";"Microsoft";"text";"defacement";0;122
"FALSE";"PHP";"Microsoft";"text";"defacement";0;115
"FALSE";"PHP";"Microsoft";"text";"defacement";0;116
"FALSE";"PHP";"Microsoft";"text";"defacement";0;114
